Headline,Publication,Summary,Date
"Minder regels, meer woningen? Vijf oplossingen voor de achterstand in de woningbouw","De Volkskrant.nl, 1714 words",,23/1/2020
"Minder regels, meer woningen? 'Geef corporaties hun verantwoordelijkheid terug'","de Volkskrant, Economie; Blz. 24, 25, 1685 words",,23/1/2020
B en W Goirle verdelen taken afgetreden wethouder Bert Schellekens,"AD/Algemeen Dagblad.nl, 182 words",,23/1/2020
Bouwer op matje geroepen om lelijke flat Binckhorst: ‘Het voelt als een overval’,"AD/Algemeen Dagblad.nl, 478 words",,24/1/2020
Mijn favoriet,"NRC Handelsblad, LEVEN; Blz. 8, 416 words",,25/1/2020
Mijn favoriet,"NRC.NEXT, LEVEN; Blz. 8, 416 words",,25/1/2020
GBV: ‘Geef boeren de ruimte om te ondernemen’,"AD/Algemeen Dagblad.nl, 413 words",,27/1/2020
GOUDasfalt kan een mooie vrije speelplaats zijn voor Gouda,"AD/Algemeen Dagblad.nl, 351 words",,2/2/2020
"‘Winkelen’ mag voortaan op de Sonman in Moergestel , maar niet bij de meubelboer","AD/Algemeen Dagblad.nl, 399 words",,7/2/2020
Rijtjeshuizen van autobanden en strobalen,"NRC Handelsblad, WEEKEND; Blz. 28, 3217 words",,8/2/2020
Rijtjeshuizen van autobanden en strobalen,"NRC.NEXT, WEEKEND; Blz. 28, 3217 words",,8/2/2020
Zo werd ertoch gebouwd naast een vuurwerkopslag,"NRC Handelsblad, IN HET NIEUWS; Blz. 6, 1765 words",,10/2/2020
Zo werd ertoch gebouwd naast een vuurwerkopslag,"NRC.NEXT, IN HET NIEUWS; Blz. 6, 1764 words",,10/2/2020
Opvattingen verhullen met enorme openheid column,"NRC Handelsblad, IN HET NIEUWS; Blz. 2, 472 words",,11/2/2020
Opvattingen verhullen met enorme openheid column,"NRC.NEXT, IN HET NIEUWS; Blz. 2, 471 words",,11/2/2020
Niemand is gediend van weggemoffelde inspectierapporten Commentaar,"NRC Handelsblad, OPINIE; Blz. 17, 627 words",,11/2/2020
Niemand is gediend van weggemoffelde inspectierapporten Commentaar,"NRC.NEXT, OPINIE; Blz. 17, 627 words",,11/2/2020
Eerste Kamer stemt in met invoering Omgevingswet,"NRC.NEXT, BINNENLAND; Blz. 10, 528 words",,12/2/2020
