Headline,Publication,Summary,Date
Toch deels uitstel wet bouwkwaliteit,"NRC, ECONOMIE; Blz. 5, 791 words",,12/9/2023
"Meierijstad heeft 80 ambtenaren extra nodig, onder meer door meer bezwaren en meldingen over misstanden","AD/Algemeen Dagblad.nl, 553 words",,13/9/2023
"Meierijstad heeft 80 ambtenaren extra nodig, onder meer door meer bezwaren en meldingen over misstanden","AD/Algemeen Dagblad.nl, 556 words",,13/9/2023
"Besluit Waterpark Dommelsvoort uitgesteld, gevolgen onduidelijk","AD/Algemeen Dagblad.nl, 492 words",,15/9/2023
Besluit Waterpark Dommelsvoort uitgesteld gevolgen onduidelijk,"AD/Algemeen Dagblad.nl, 488 words",,15/9/2023
Ede is ongewild koploper: van de 2800 piekbelasters in heel Nederland zitten er 600 in deze gemeente,"AD/Algemeen Dagblad.nl, 1840 words",,17/9/2023
Ede is ongewild koploper: van de 2800 piekbelasters in heel Nederland zitten er 600 in deze gemeente,"AD/Algemeen Dagblad.nl, 1821 words",,17/9/2023
"Vrees voor overgang naar Omgevingswet, ondanks extra geld, ambtenaren en training","AD/Algemeen Dagblad.nl, 926 words",,19/9/2023
"Vrees voor overgang naar Omgevingswet, ondanks rextra geld, ambtenaren en trainingr","AD/Algemeen Dagblad.nl, 926 words",,19/9/2023
Nieuwe Omgevingswet per 1 januari zorgt nú al voor vertraging van bouwplannen,"AD/Algemeen Dagblad.nl, 1379 words",,19/9/2023
Nieuwe Omgevingswet per 1 januari zorgt nú al voor vertraging van bouwplannen,"AD/Algemeen Dagblad.nl, 1385 words",,19/9/2023
Eerste uitbreiding van Lithoijen moet niet als uitbreiding herkenbaar zijn,"AD/Algemeen Dagblad.nl, 415 words",,19/9/2023
Eerste uitbreiding van Lithoijen moet niet als uitbreiding herkenbaar zijn,"AD/Algemeen Dagblad.nl, 413 words",,19/9/2023
Stel uit Gorssel baalt als een stekker van schuur die buurman bouwde: ‘Dacht eerst dat het een grap was’,"AD/Algemeen Dagblad.nl, 815 words",,19/9/2023
Stel uit Gorssel baalt als een stekker van schuur die buurman bouwde: ‘Dacht eerst dat het een grap was’,"AD/Algemeen Dagblad.nl, 815 words",,19/9/2023
Nijmegen pakt houtstook harder aan: ‘Gezond stoken bestaat niet’,"AD/Algemeen Dagblad.nl, 444 words",,20/9/2023
Nijmegen pakt houtstook harder aan: ‘Gezond stoken bestaat niet’,"AD/Algemeen Dagblad.nl, 444 words",,20/9/2023
Hoe de Deventer asfaltfabriek een hoofdpijndossier werd (en waarom inwoners overal in actie komen),"AD/Algemeen Dagblad.nl, 1469 words",,23/9/2023
Geldropse Van der Puttschool mag verhuizen ondanks bezwaren van de buurt,"AD/Algemeen Dagblad.nl, 503 words",,26/9/2023
Zorgen over sluipverkeer in nieuwe wijk Repelakker Zeeland blijven: ‘Niets gedaan met onze inbreng’,"AD/Algemeen Dagblad.nl, 533 words",,26/9/2023
Vernieuwd winkelcentrum Tournoysveld krijgt ook 125 woningen (mét een eigen parkje op het dak),"AD/Algemeen Dagblad.nl, 613 words",,27/9/2023
"Provincie trekt portemonnee voor milieutaken, mobiliteit en erfgoed","AD/Algemeen Dagblad.nl, 639 words",,29/9/2023
Onrustige reacties tijdens bijeenkomst over invulling nieuwe Bergse wijken: ‘Maar er staat nog niets op papier’,"AD/Algemeen Dagblad.nl, 634 words",,2/10/2023
Eindelijk weer woningbouw in Brakel: Eerst stap voor nieuw wijkje is gezet,"AD/Algemeen Dagblad.nl, 566 words",,2/10/2023
Nuenen gaat beter zorgen voor erfgoed; heemkundekring hoopt nu op meer geld,"AD/Algemeen Dagblad.nl, 339 words",,6/10/2023
Waarom is het waterschap tegen storten vervuilde grond Plas van Caron? ‘Het is een duivels dilemma’,"AD/Algemeen Dagblad.nl, 778 words",,6/10/2023
"Zonnepanelen, warmtepomp, nieuwe bomen én extra parkeerterrein bij Sint Catharinadal","AD/Algemeen Dagblad.nl, 863 words",,6/10/2023
"Waar wil Waalwijk in de toekomst heen? Gepuzzel met ambities, geld en personeel","AD/Algemeen Dagblad.nl, 541 words",,7/10/2023
Het kan niet langer zo doorgaan met de ict-incompetentie van de overheid,"NRC.nl, 879 words",,9/10/2023
Stop met pleisters plakken op oude ict,"NRC, OPINIE; Blz. 18, 883 words",,10/10/2023
Geveltuintjesgekte gaat maar door: Noordhoek wilde niet wachten en krijgt er bijna 180 in één keer,"AD/Algemeen Dagblad.nl, 434 words",,13/10/2023
Epe legt nieuwbouwwijk aan de monitor: ‘We willen zeker weten dat Zuukerenk over veertig jaar ook nog mooi is’,"AD/Algemeen Dagblad.nl, 687 words",,16/10/2023
Donkere financiële wolken drijven richting Kop van Overijssel,"AD/Algemeen Dagblad.nl, 780 words",,17/10/2023
Het zoveelste ict-drama lijkt onafwendbaar met invoering van de Omgevingswet,"NRC.nl, 804 words",,23/10/2023
Het volgende ict-drama is in de maak,"NRC, BINNENLAND; Blz. 8, 831 words",,24/10/2023
Nieuwe wet legt bom onder plan voor railterminal bij Reeth: ‘Reken er maar op dat we hier niet mee instemmen’,"AD/Algemeen Dagblad.nl, 421 words",,25/10/2023
Eerste Kamer lijnrecht tegenover Hugo de Jonge over uitstel van Omgevingswet,"NRC.nl, 437 words",,31/10/2023
"Wethouder stelt Vlissingers gerust, angst plannen Nollebos in zijn ogen onterecht","AD/Algemeen Dagblad.nl, 443 words",,31/10/2023
"Het is te gemakkelijk om boom te kappen in Hattem, maar dat veranderen valt niet mee","AD/Algemeen Dagblad.nl, 653 words",,31/10/2023
Omgevingswet Eerste Kamer wil uitstel Omgevingswet,"NRC, BINNENLAND; Blz. 10, 451 words",,1/11/2023
Megaproject ondergronds busstation en spooruitbreiding Eindhoven: 6000 inwoners mogen meepraten over twee varianten,"AD/Algemeen Dagblad.nl, 533 words",,6/11/2023
Dit is waarom Boekel bijna 1 miljoen euro misliep,"AD/Algemeen Dagblad.nl, 605 words",,6/11/2023
In coronatijd bouwde Nathalie een terras bij haar restaurant en dat moet nu weg: ‘Ik ben radeloos’,"AD/Algemeen Dagblad.nl, 659 words",,7/11/2023
"Bouwen op eigen perceel kan woningtekort terugdringen, volgens Veldhovense gemeenteraad: ‘Eenvoudige wijze om meer woningen te krijgen’","AD/Algemeen Dagblad.nl, 348 words",,8/11/2023
Minstens tachtig nieuwe ambtenaren voor Meierijstad: Hoe kom je er aan? Is een hoog salaris voldoende?,"AD/Algemeen Dagblad.nl, 758 words",,9/11/2023
"Meer woningen, veiligere dorpen en bestaanszekerheid: dit zijn de wensen in de Halderbergse gemeenteraad","AD/Algemeen Dagblad.nl, 495 words",,10/11/2023
"Van boerenbuurt tot beerput, waar ging het mis in de Boekelse Elzen?","AD/Algemeen Dagblad.nl, 1070 words",,11/11/2023
Ondernemers in Veen willen groter bedrijventerrein: ‘Verplaatsing is niet mogelijk en vergt enorme investering’,"AD/Algemeen Dagblad.nl, 329 words",,15/11/2023
"Moerdijk steekt ruim een ton in een cultuurcoach, een buitenpodium en geluidstechniek in De Schuur","AD/Algemeen Dagblad.nl, 482 words",,15/11/2023
Tubbergse gemeenteraad krijgt alsnog zwaardere stem in asielkwesties; maar of het had geholpen bij het azc is zeer de vraag,"AD/Algemeen Dagblad.nl, 375 words",,16/11/2023
"Aantal openbare toiletten neemt toe met bijna tweeduizend, minder ‘sanitair seksisme’","De Volkskrant.nl, 554 words",,16/11/2023
Gevaarlijke explosieven en slechte waterkwaliteit: ook hier is magneetvissen binnenkort wellicht verboden,"AD/Algemeen Dagblad.nl, 428 words",,20/11/2023
Boekel bedenkt alternatief voor verdwijnende flitsvergunning,"AD/Algemeen Dagblad.nl, 353 words",,23/11/2023
Grote verbazing over wijziging bekendmakingen gemeente Olst-Wijhe: ‘Ze sluiten ons buiten’,"AD/Algemeen Dagblad.nl, 479 words",,27/11/2023
Raymond bouwde zijn bedrijfspand voor 100.000 euro om tot padelbaan en nu staat de gemeente op de stoep,"AD/Algemeen Dagblad.nl, 643 words",,27/11/2023
Woningbouwplan voor 50 nieuwe woningen in Lopikerkapel uiterlijk half december ter inzage,"AD/Algemeen Dagblad.nl, 286 words",,29/11/2023
"De Meeuw mag 100 flexwoningen op eigen terrein plaatsen, mits er geen hinder ontstaat","AD/Algemeen Dagblad.nl, 345 words",,29/11/2023
"Maashorst pakt door met bouwplannen in Uden , Volkel, Schaijk en Zeeland: samen 336 woningen","AD/Algemeen Dagblad.nl, 608 words",,29/11/2023
"Wanneer mensen geen grip over hun leven ervaren, compenseren ze dat door zondebokken te zoeken, stelt de WRR","NRC.nl, 1341 words",,29/11/2023
"Als je vanuit grip kijkt, zie je andere dingen'","NRC, IN HET NIEUWS; Blz. 4, 1381 words",,30/11/2023
Leusden worstelt met de illegale padelbanen van Raymond: ‘Is het nou veilig of niet?’,"AD/Algemeen Dagblad.nl, 624 words",,1/12/2023
De PVV verzet zich tegen gezondheidsmaatregelen waar juist haar stemmers de meeste baat bij kunnen hebben,"NRC.nl, 1143 words",,4/12/2023
Een PVV-narratief ligt voor het oprapen ALS HET MAAR VERANDERT,"NRC, ECONOMIE; Blz. 6, 1222 words",,5/12/2023
Plan Niemeskant Volkel krijgt verder vorm: start bouw 186 huizen mogelijk al in 2025,"AD/Algemeen Dagblad.nl, 327 words",,7/12/2023
Vijf jaar na de brand is er een plan voor de plek van Maaskant Reizen in Lith: 24 nieuwe woningen,"AD/Algemeen Dagblad.nl, 458 words",,7/12/2023
"Samen in een oude boerderij wonen, vijf vragen over erfdelen","AD/Algemeen Dagblad.nl, 1117 words",,7/12/2023
Plan voor zestig woningen op plek Sportcentrum Berghem,"AD/Algemeen Dagblad.nl, 303 words",,10/12/2023
Staatsbosbeheer respecteert verzet tegen nieuw bos,"AD/Algemeen Dagblad.nl, 443 words",,11/12/2023
"Schoorsteenverbod zit er voorlopig niet in, daarom campagne tegen overlast houtstook","AD/Algemeen Dagblad.nl, 350 words",,12/12/2023
Forse investe­ring nodig om zwembad Zidewinde in Sprang-Capelle open te houden,"AD/Algemeen Dagblad.nl, 539 words",,13/12/2023
Limburgse Staten niet gerust op Omgevingswet: ‘Er zijn ontzettend veel zorgen’,"AD/Algemeen Dagblad.nl, 365 words",,15/12/2023
Wijchen zet voor het eind van het jaar tientallen bouwplannen op de rit,"AD/Algemeen Dagblad.nl, 452 words",,15/12/2023
Zesduizend ton aardappelen doen - letterlijk en figuurlijk - stof opwaaien in de Mortel,"AD/Algemeen Dagblad.nl, 432 words",,18/12/2023
"Gaat het lukken om te bouwen op plek afgebrand hotel Plasmolen, of blijft stikstof een probleem?","AD/Algemeen Dagblad.nl, 450 words",,18/12/2023
Eindhoven wil vaart achter Vonderpark Kwartier en -eindelijk- aanleg van Victoriapark: ‘Dit heeft veel te lang geduurd’,"AD/Algemeen Dagblad.nl, 561 words",,18/12/2023
Bernheze keurt snel bouwplannen goed voor invoering Omgevingswet op 1 januari: ‘Vertraging voorkomen’,"AD/Algemeen Dagblad.nl, 349 words",,19/12/2023
Appartementen of bedrijfshallen leggen onze molens stil: 'We zijn niet alert geweest’,"AD/Algemeen Dagblad.nl, 891 words",,19/12/2023
"‘Praat mee over toekomst van Goeree’, welke kant gaat het uit met het eiland?","AD/Algemeen Dagblad.nl, 603 words",,20/12/2023
Boekel legt nog vóór komst Omgevingswet plannen ter inzage,"AD/Algemeen Dagblad.nl, 314 words",,21/12/2023
‘Stevige impuls’ voor woningbouw Meierijstad: plannen voor 260 woningen snel afgetikt,"AD/Algemeen Dagblad.nl, 268 words",,21/12/2023
Nog net op tijd voor de jaarwisseling: plannen voor 112 nieuwe huizen in Soest,"AD/Algemeen Dagblad.nl, 284 words",,21/12/2023
Oldenzaal schrapt plan flexwoningen en gaat voor veertig permanente huizen op twee locaties,"AD/Algemeen Dagblad.nl, 384 words",,21/12/2023
"Westrand straks leefbaarder, mooier, veiliger en groener","AD/Algemeen Dagblad.nl, 356 words",,21/12/2023
"Opvang asielzoekers in Lopik blijft onzeker, onderzoek naar locatie duurt nog enkele maanden","AD/Algemeen Dagblad.nl, 654 words",,21/12/2023
Dagen voor Manege De Heideruiter zijn in Goirle geteld: Timmerfabriek gaat er uitbreiden,"AD/Algemeen Dagblad.nl, 300 words",,22/12/2023
Windmolenbesluit Brielle uitgesteld: ‘Goedkope demagogie’,"AD/Algemeen Dagblad.nl, 312 words",,22/12/2023
"Halderbergse VVD’er Hans van Gurchom verlaat na zes jaar de raad, opvolger al gevonden","AD/Algemeen Dagblad.nl, 276 words",,23/12/2023
Ook na jaren voorbereiding twijfels over invoering Omgevingswet: ‘Operatie die veel impact heeft’,"AD/Algemeen Dagblad.nl, 429 words",,27/12/2023
Grote zorgen over steenuilen in Zeeuws-Vlaanderen,"AD/Algemeen Dagblad.nl, 416 words",,27/12/2023
De slottonen van Bohemian Rhapsody klinken nog na als er 1 januari allerlei regels veranderen: een overzicht,"NRC.nl, 926 words",,28/12/2023
"Fietstunnel onder spoor Ravenstein blijkt te duur, gemeente kiest daarom voorlopig voor brug","AD/Algemeen Dagblad.nl, 449 words",,28/12/2023
"Duurdere sigaretten, later met pensioen 2024 Nieuwe regels: accijns, vapen en achternamen","NRC, VOORPAGINA; Blz. 1, 520 words",,29/12/2023
Hoop voor omwonenden N321 bij Beers die last hebben van geluid door het voorbijrazende verkeer,"AD/Algemeen Dagblad.nl, 518 words",,30/12/2023
Van duurdere cola tot dubbele achternamen: dit is er veranderd in het nieuwe jaar,"AD/Algemeen Dagblad.nl, 858 words",,31/12/2023
Zorgenkind Omgevingswet begint aan de ultieme test: de praktijk,"NRC.nl, 1872 words",,1/1/2024
Met een paar klikken toestemming voor een nieuw schuurtje? Dat zal tegenvallen,"NRC.nl, 1003 words",,1/1/2024
"Dit verandert per 1 januari: frisdranktaks, duurdere energie, hardere aanpak dierenmishandeling","De Volkskrant.nl, 943 words",,1/1/2024
"Gemeenten zien in 2024 heel wat op zich afkomen, en dat vaak zonder de helpende hand van het Rijk","AD/Algemeen Dagblad.nl, 800 words",,1/1/2024
Hoe kunnen we droog wonen in een natter Nederland?,"NRC.nl, 1888 words",,1/1/2024
Waar beginnen we aan met die Omgevingswet?,"NRC, OPINIE; Blz. 18, 1036 words",,2/1/2024
Ingrijpende wet begint aan ultieme test: de praktijk,"NRC, BINNENLAND; Blz. 10, 1882 words",,2/1/2024
"Deze veranderingen gelden per 1 januari: frisdranktaks, duurder gas, hardere aanpak dierenmishandeling","de Volkskrant, Ten Eerste; Blz. 4, 921 words",,2/1/2024
Wat staat er op stapel in 2024 in Boxtel? In ieder geval Olympische Spelen met grote Boxtelse inbreng,"AD/Algemeen Dagblad.nl, 907 words",,2/1/2024
Stijgend water: terug naar het oude Nederland,"NRC, BINNENLAND; Blz. 8, 2004 words",,2/1/2024
Hoe ‘de grootste wetswijziging sinds 1848’ dreigt te verzanden in chaos,"NRC.nl, 110 words",,2/1/2024
No Headline In Original,"NRC, BINNENLAND; Blz. 10, 15 words",,2/1/2024
Eén jaar Voorne aan Zee: ‘Het kan alleen maar beter worden’,"AD/Algemeen Dagblad.nl, 1009 words",,3/1/2024
"Landelijke en provinciale politiek wil er niet aan, maar nu ligt er tóch een tweede aanvraag voor zonnepark IJsselmuiden","AD/Algemeen Dagblad.nl, 535 words",,5/1/2024
BRIEVEN | Denk bij huisvesting ook aan eigen inwoners,"AD/Algemeen Dagblad.nl, 869 words",,7/1/2024
De vleermuis heeft bij ons zo zijn eigen wooncrisis,"de Volkskrant, Ten Eerste; Blz. 16, 501 words",,9/1/2024
Natuurbeschermers: geen nieuwbouw in bufferzone van 250 meter rond groen,"AD/Algemeen Dagblad.nl, 681 words",,10/1/2024
"De kachel kan blijven roken op Schouwen-Duiveland: geen verbod, wel rekening houden met elkaar","AD/Algemeen Dagblad.nl, 477 words",,10/1/2024
Dertig tot veertig nieuwe woningen in Leende vooral voor starters; bouw begint volgend jaar,"AD/Algemeen Dagblad.nl, 560 words",,10/1/2024
"Sander Schaareman nieuwe kopman bij Lokaal Bernheze: ‘Doortastend, recht door zee en kritisch’","AD/Algemeen Dagblad.nl, 204 words",,11/1/2024
Goeree-Overflakkee bouwt aan de toekomst,"AD/Algemeen Dagblad.nl, 277 words",,11/1/2024
"Verliefd, verloofd, getrouwd', zo lang duurt het nog voordat Best en Oirschot één gemeente zijn","AD/Algemeen Dagblad.nl, 584 words",,11/1/2024
De liefde is over tussen Sint-Michielsgestel en milieuclub: ‘Het werkt op deze manier gewoon niet’,"AD/Algemeen Dagblad.nl, 439 words",,12/1/2024
Windmolens blokkeren bouw 5000 woningen: ‘Minister moet nu ingrijpen’,"AD/Algemeen Dagblad.nl, 631 words",,13/1/2024
"(Ver)bouwen zonder vergunning, lichtmast bij sportveld later uit en de boer mag best wat meer stank produceren: deze nieuwe wet regelt het","AD/Algemeen Dagblad.nl, 947 words",,14/1/2024
BRIEVEN | Eindelijk erkenning voor mensen met long covid,"AD/Algemeen Dagblad.nl, 919 words",,14/1/2024
Voor het ‘gewone gezin’ is geen plek meer: ‘Er is een soort klassenstrijd gaande op de camping’,"AD/Algemeen Dagblad.nl, 2268 words",,14/1/2024
Compostbultje dwarsboomt migrantenhotel,"de Volkskrant, Ten Eerste; Blz. 3, 945 words",,18/1/2024
Boerenslimheid in Brabant: composthoop (‘een bultje van niks’) verijdelt plannen voor arbeidsmigrantenhotel,"De Volkskrant.nl, 1005 words",,18/1/2024
Voorne aan Zee wil grip op terrein rubberfabriek houden,"AD/Algemeen Dagblad.nl, 221 words",,18/1/2024
Gemeente Meierijstad blijkt ruim 4 miljoen meer te ontvangen over 2023,"AD/Algemeen Dagblad.nl, 200 words",,18/1/2024
"Bodemvondsten verstoren snelle bouw van woningen in en rond de kerk van Malden. Balen, want ‘de markt is goed’","AD/Algemeen Dagblad.nl, 371 words",,20/1/2024
Actie: nu al ‘honderden’ bezwaren tegen zonnepark bij Kekerdom,"AD/Algemeen Dagblad.nl, 471 words",,25/1/2024
TopParken maakt pas op de plaats met groot vakantiepark langs A73 bij Cuijk,"AD/Algemeen Dagblad.nl, 576 words",,25/1/2024
"Nog nooit stond de kelder bij slagerij Lejeune blank, maar nu bleef het water maar komen (en niet alleen bij hem)","AD/Algemeen Dagblad.nl, 705 words",,25/1/2024
Plan voor huisvesting 140 arbeidsmigranten in Wagenberg : bewoners voelen zich ‘overrompeld’,"AD/Algemeen Dagblad.nl, 473 words",,1/2/2024
‘Land van Cuijk had zelf op de rem moeten trappen met Dommelsvoort’,"AD/Algemeen Dagblad.nl, 552 words",,2/2/2024
Hoe goed of slecht ligt zwembad Zidewinde er nu eigenlijk bij?,"AD/Algemeen Dagblad.nl, 770 words",,2/2/2024
Knarsetandend maakt Etten-Leur speciale mantelzorgwoningen mogelijk,"AD/Algemeen Dagblad.nl, 430 words",,6/2/2024
"Begrip voor zorgen over komst 140 arbeidsmigranten in Wagenberg , maar er komt ‘heel goed beheer’","AD/Algemeen Dagblad.nl, 605 words",,6/2/2024
Provincie draagt bevoegd gezag over ForFarmers over aan Lochem: ‘Bedrijf moet zich aan de regels houden’,"AD/Algemeen Dagblad.nl, 435 words",,13/2/2024
Wie wil optoppen moet kunnen delen in de winst,"AD/Algemeen Dagblad.nl, 530 words",,13/2/2024
"Opinie: Nieuw wetsvoorstel stelt eindelijk het milieu centraal, maar moet aangescherpt worden","De Volkskrant.nl, 872 words",,13/2/2024
"Nieuw wetsvoorstel stelt eindelijk het milieu centraal. Maar de tekst moet scherper, anders wordt handhaven lastig","de Volkskrant, Opinie; Blz. 28, 815 words",,14/2/2024
Het dak op voor extra woonruimte: is het ‘optoppen’ van gebouwen de oplossing voor het woningtekort?,"De Volkskrant.nl, 1578 words",,18/2/2024
Het dak op!,"de Volkskrant, V; Blz. 4, 5, 6, 2059 words",,19/2/2024
Geen kritische vragen voor de wethouder: de gemeente Ermelo interviewt hem zelf,"AD/Algemeen Dagblad.nl, 767 words",,22/2/2024
Nieuwe leefomgeving voor tientallen vleermuizen en huismussen,"AD/Algemeen Dagblad.nl, 312 words",,23/2/2024
Een huis bouwen in Etten-Leur? Dat betekent extra kosten voor eigenaar,"AD/Algemeen Dagblad.nl, 185 words",,26/2/2024
Verbod op houtstook op agenda gemeenteraad: Viola wordt ziek als haar buren de kachel aansteken,"AD/Algemeen Dagblad.nl, 818 words",,27/2/2024
Eindhovens houtstookverbod lijkt zinloos als handhaven niet echt kan: ‘Het is gewoon heel lastig’,"AD/Algemeen Dagblad.nl, 621 words",,29/2/2024
Kleine slordigheidjes in bestemmingsplan Buitengebied Bladel rechtgezet,"AD/Algemeen Dagblad.nl, 430 words",,1/3/2024
Lochem strijdt richting 2040 voor meer woningen en tégen vergrijzing: ‘Flexibel omgaan met regels’,"AD/Algemeen Dagblad.nl, 533 words",,1/3/2024
Hulst hoopt op draagvlak door meepraten burgers over inrichting van noodopvanggebouw,"AD/Algemeen Dagblad.nl, 452 words",,4/3/2024
Conflict rond bouw woningen in Eibergen : projectontwikkelaar en gemeente wijzen naar elkaar,"AD/Algemeen Dagblad.nl, 764 words",,6/3/2024
Kinderboerderij en waterspeeltuin Tanthof ondergaat metamorfose: ‘Straks zijn we het hele jaar open’,"AD/Algemeen Dagblad.nl, 338 words",,7/3/2024
Hoe het gesteld is met de Bergse kademuren? ‘Heel wisselend’,"AD/Algemeen Dagblad.nl, 571 words",,7/3/2024
Minister De Jonge zet woningbouwruzie met Zuid-Holland verder op scherp,"NRC.nl, 850 words",,8/3/2024
Woningbouwruzie verder op scherp,"NRC, ECONOMIE; Blz. 8, 791 words",,9/3/2024
Een op de drie woningbranden ontstaat in de schoorsteen: hoe kun je veilig stoken?,"AD/Algemeen Dagblad.nl, 531 words",,10/3/2024
EU te traag met klimaatmaatregelen',"NRC, WETENSCHAP; Blz. 16, 769 words",,12/3/2024
Hulst zit niet te wachten op een mestvergister bij Terhole,"AD/Algemeen Dagblad.nl, 635 words",,13/3/2024
"Bewoners van Rheden staan machteloos: ‘Een McDrive middenin de natuur, dat geloof je toch niet?’","NRC.nl, 1237 words",,13/3/2024
In één klap werd het perceel aanzienlijk meer waard,"NRC, BINNENLAND; Blz. 8, 1830 words",,13/3/2024
"Rheden ziet McDrive niet zitten, maar kan niets doen","NRC, BINNENLAND; Blz. 10, 1285 words",,14/3/2024
Valkenswaard wil Raad van State smeken: ‘Verlos ons van gedrochtelijk bestemmingsplan!’,"AD/Algemeen Dagblad.nl, 449 words",,15/3/2024
"Dakkapel, warmtepomp of airco plaatsen? Apeldoorn gaat de regels versoepelen (maar nog even geduld)","AD/Algemeen Dagblad.nl, 283 words",,18/3/2024
"U bent gewaarschuwd, de venijnige visdiefjes zijn weer onderweg naar Terneuzen","AD/Algemeen Dagblad.nl, 637 words",,20/3/2024
Moet ik te horen krijgen wat er stinkt in mijn toekomstige woonwijk? ‘Mensen moeten ook zelf onderzoek doen’,"AD/Algemeen Dagblad.nl, 731 words",,22/3/2024
Omgevingswet belemmert vernieuwing Waterspeeltuin Tanthof: bijna half miljoen nodig voor nieuwe plannen,"AD/Algemeen Dagblad.nl, 299 words",,25/3/2024
"Anketien geeft dieren een stem met protestborden tegen McDonald’s : ‘Het wordt zwarter, gromt de marter’","AD/Algemeen Dagblad.nl, 650 words",,25/3/2024
"Winkeliers merken gevolgen van omstreden opknapbeurt nog steeds: bouwer eist 2,5 miljoen van gemeente","AD/Algemeen Dagblad.nl, 592 words",,26/3/2024
Ondernemers naar rechter tegen noodopvang in Epe: ‘Schade moet worden vergoed’,"AD/Algemeen Dagblad.nl, 455 words",,27/3/2024
Woedende bewoners bij informatieavond over ‘metropolitane fietsroute’: ‘Democratisch gehalte is laag’,"AD/Algemeen Dagblad.nl, 632 words",,27/3/2024
"Boutiquehotel in Lange Nieuwstraat mag er komen, maar dan wel met een maximum aantal gasten","AD/Algemeen Dagblad.nl, 263 words",,28/3/2024
Eerste asielzoeker binnen week verwijderd uit omstreden noodopvang in Epe: ‘Verwarde man’,"AD/Algemeen Dagblad.nl, 419 words",,28/3/2024
